event_id,event_name,threat_date,backdown_date,duration_days,category,backdown_type,sp500_threat_day_pct,nasdaq_threat_day_pct,oil_threat_day_pct,btc_threat_day_pct,vix_spike_pct,sp500_backdown_day_pct,nasdaq_backdown_day_pct,oil_backdown_day_pct,btc_backdown_day_pct,rebound_magnitude_pct,description,source,notes
TACO-001,Liberation Day Tariff Announcement,2025-04-02,2025-04-09,7.0,trade_tariff,90-day pause,0.633,0.73,0.856,-3.151,-1.194,10.502,12.003,6.694,8.263,9.869,Trump announced sweeping 'Liberation Day' tariffs on all imports. Markets crashed. Within 7 days Trump announced 90-day pause for all countries except China.,L1-news,Most significant TACO event; S&P dropped ~5% then reversed sharply on pause announcement
TACO-002,US-China Trade Truce (Geneva),2025-05-01,2025-05-12,11.0,trade_tariff,tariff reduction + 90-day truce,0.709,1.306,1.51,2.426,-0.405,3.305,4.074,1.486,-1.242,2.596,"After brief re-escalation of China tariffs to 145%, Trump team negotiated Geneva truce: 90-day reduction to 30% tariffs. Described as 'substantial progress'.",L1-news,China tariffs reduced from 145% to 30% for 90-day period
TACO-003,Canada Auto Tariff Threat/Pause,2025-03-04,2025-03-06,2.0,trade_tariff,1-month reprieve,-1.184,-0.302,-0.014,1.344,3.205,-1.775,-2.751,-0.406,-0.73,-0.591,Trump threatened 50% auto tariffs on Canada. Auto industry lobbied; Trump granted 1-month reprieve within 48 hours.,L1-news,Extremely fast TACO (2 days); industry pressure was catalyst
TACO-004,Mexico Tariff Pause (USMCA exemption),2025-02-01,2025-02-03,2.0,trade_tariff,pause pending cooperation,-0.673,-0.8,-0.256,-1.708,13.329,-0.673,-0.8,-0.256,3.804,0.0,Trump threatened 25% tariffs on Mexico over border/fentanyl. Mexico pledged cooperation; Trump paused tariffs within 48 hours.,L1-news,Fast TACO; diplomatic rather than market-driven
TACO-005,TikTok Ban Deadline Extension #1,2025-01-19,2025-01-20,1.0,tech_ban,75-day executive order extension,0.915,0.587,-1.709,-3.178,-5.698,0.915,0.587,-1.709,0.917,0.0,"TikTok ban law took effect. Trump extended deadline by 75 days via executive order, allowing TikTok to keep operating.",L1-news,Minimal market impact but clear TACO pattern
TACO-007,Panama Canal Seizure Threat,2025-01-20,2025-02-15,26.0,military_geopolitical,"rhetoric softened, no action taken",0.915,0.587,-1.709,0.917,-5.698,0.294,0.227,1.504,0.073,-0.621,"Trump threatened to 'take back' Panama Canal. After diplomatic pressure and Panama's assurances on Chinese influence, rhetoric softened significantly.",L1-news,Longer cycle; no market panic equivalent to trade TACOs
TACO-008,Greenland Acquisition Threat,2025-01-07,2025-02-28,52.0,geopolitical,dropped from agenda,-1.13,-1.784,1.125,-5.05,11.097,1.561,1.579,-0.08,-0.391,2.691,Trump threatened military/economic coercion to acquire Greenland from Denmark. Gradually dropped from news cycle without action.,L1-news,Very slow fade; minimal market impact; NATO ally context limited escalation
TACO-009,EU Tariff Threat (Liberation Day 2nd wave),2025-04-08,2025-04-09,94.0,trade_tariff,negotiated partial deal,-1.566,-1.801,-4.001,-3.74,11.388,10.502,12.003,6.694,8.263,12.068,EU was explicitly excluded from 90-day TACO pause; faced 20% tariffs. Negotiations began; partial deals reached by summer 2025.,L3-estimated,Slower TACO; EU had more leverage than individual countries
TACO-010,China Tariff Re-escalation Threat (145%),2025-05-01,2025-05-12,33.0,trade_tariff,Geneva deal — 90-day reduction to 30%,0.709,1.306,1.51,2.426,-0.405,3.305,4.074,1.486,-1.242,2.596,"After 90-day pause for others, China tariffs were raised to 145%. Markets priced in sustained China decoupling. Geneva deal resolved at 30%.",L1-news,China TACO took longer (33 days) vs average; geopolitical stakes higher
TACO-011,Iran Nuclear Strike Threat (2026),2026-03-30,,,military_geopolitical,PENDING — current event,-0.334,-0.764,4.533,1.117,-1.417,,,,,,"Trump issued ultimatum to Iran over nuclear program. Threatened direct military strikes if no deal within 60 days. As of 2026-03-31, unresolved.",L3-estimated,THIS IS THE CURRENT EVENT UNDER ANALYSIS. Outcome TBD.
TACO-012,Steel/Aluminum Tariff Pause for Allies,2025-03-12,2025-03-28,16.0,trade_tariff,selective exemptions for allies,0.531,1.128,1.889,1.038,-9.993,-2.014,-2.633,-0.941,-3.239,-2.545,"25% steel/aluminum tariffs threatened on all countries. Allies (UK, Japan, South Korea) received exemptions after bilateral negotiations.",L3-estimated,Partial TACO; China excluded from exemptions
TACO-013,Federal Reserve Independence Threat,2025-04-17,2025-04-22,5.0,domestic_policy,explicit walkback statement,0.143,-0.018,2.554,1.026,-9.161,2.602,2.625,1.093,6.768,2.459,"Trump publicly threatened to fire Fed Chair Powell. Treasury yields spiked, dollar fell. Trump walked back within 5 days saying he had 'no intention' of firing Powell.",L1-news,Fast TACO (5 days); significant market panic then reversal
TACO-014,Pharmaceutical Tariff Threat,2025-05-05,2025-05-20,15.0,trade_tariff,implementation delayed,-0.573,-0.593,-2.562,0.458,4.233,-0.336,-0.333,0.219,1.122,0.237,Trump threatened 100% tariffs on pharmaceutical imports. Drug makers lobbied; threatened to move manufacturing abroad. Tariff paused.,L3-estimated,Industry lobby successfully delayed; healthcare stocks recovered
TACO-015,Ukraine/Russia Ceasefire Pressure,2025-02-10,2025-03-15,33.0,geopolitical,"modified position, support maintained",0.679,1.211,2.03,0.971,-4.414,0.771,0.648,0.595,0.445,0.092,Trump threatened to withdraw all US support from Ukraine unless ceasefire negotiations began. Ukraine/Europe resisted; US eventually maintained support with conditions.,L3-estimated,NATO/European pressure prevented full TACO; partial outcome
